source,target,weight,pmi
москвы,одинцовского района,3,5.1915
москвы,новой москвы,6,6.1915
дубна,социально-экономического развития,2,5.6065
королёв,королёва,21,5.4614
королёв,стратегий социально-экономического развития,2,5.317
нии,ес,3,7.2321
нии,мо,4,5.4545
научный центр российской,ао «государственный научный центр,2,7.1915
научный центр российской,научный центр,3,7.076
ао «государственный научный центр,научный центр,2,6.661
цкп,цкп «скиф»,12,5.3252
черноголовка,подмосковном наукограде черноголовка,4,5.4014
черноголовке,медиабанк подмосковья,2,5.0853
черноголовке,иван петрушин,2,5.2373
город,оки,2,5.0038
территории,дубны,2,6.7175
территории,области,2,7.4545
науки,минобрнауки,2,5.9951
науки,министерства науки и высшего образования,2,5.732
науки,валерий фальков,5,5.5515
науки,ии,10,5.5945
россия,талантов,2,5.8536
россия,визы,3,6.339
россия,визы талантов,2,5.9605
ск,му,7,5.0813
фиц,черноголовки,3,5.58
фиц,мх ран,4,6.8695
фиц,фиц пхф,3,6.7175
мх ран,фиц пхф,4,7.4545
черноголовки,медиабанк подмосковья,3,6.165
черноголовки,иван петрушин,2,5.732
черноголовки,егоров,2,7.902
солнечной,солнечной системы,8,6.4455
солнечной,модели солнечной,4,6.0305
солнечной,модели солнечной системы,4,6.0305
московской области,области,4,5.2218
ссср,академии наук,3,8.8171
обнинск,калужская область,5,5.9218
обнинск,обнинске,4,6.4072
обнинск,обнинска,2,6.4072
королёва,дубны,4,5.7915
королёва,игорь трифонов,2,7.1135
статус наукограда,долгопрудному,4,5.7764
статус наукограда,долгопрудном,4,5.5285
михаил мишустин,правительства михаил мишустин,5,6.3979
михаил мишустин,председатель правительства михаил,5,6.3979
михаил мишустин,правительства,3,5.661
михаил мишустин,подписал председатель правительства,3,6.076
мвд,новосибирской области,2,6.317
мвд,татарстана,3,5.0946
долгопрудный получил статус,долгопрудный,4,5.5965
долгопрудный получил статус,получил статус наукограда,2,6.2846
долгопрудный получил статус,город долгопрудный получил,3,6.8695
долгопрудный получил статус,город долгопрудный,2,5.8695
долгопрудный получил статус,статус наукограда россии,2,7.4545
долгопрудный,получил статус наукограда,2,5.3335
долгопрудный,город долгопрудный получил,2,5.3335
долгопрудный,город долгопрудный,3,5.5034
мфти,долина физтеха,10,7.9284
технологий,центр,4,6.689
сколтеха,сколтех,11,8.2061
королев,королеве,8,5.5932
новосибирске,полномочного представителя президента,2,5.7764
новосибирске,состоялась рабочая встреча,2,6.1915
новосибирске,новосибирске состоялась рабочая,2,6.1915
новосибирске,рабочая встреча полномочного,2,5.7764
новосибирске,валерия фалькова,2,6.1915
новосибирске,новосибирск,2,5.317
подмосковья,жителей,2,6.1135
подмосковья,жуковского,2,5.1135
подмосковья,мария овчинникова,2,5.1135
талантов,визы,4,6.6472
талантов,визы талантов,4,6.8536
визы,визы талантов,4,6.7541
развития,развития туризма,7,6.7594
развития,туризма,7,6.6769
татарстана,татарстан,7,5.1915
но,свияжск,7,5.3343
но,тетюш,3,5.9864
татарстане,татарстан,3,6.1915
оэз,республики татарстан,2,5.3614
валерий фальков,анатолия серышева,3,5.3353
валерий фальков,фальков,3,5.537
фальков,валерия фалькова,2,6.4545
скифа,новосибирск,4,6.732
робин,алиса,4,5.7175
солнечной системы,модели солнечной,4,6.1617
солнечной системы,модели солнечной системы,4,6.1617
андрей воробьев,андрей,5,9.1915
город долгопрудный,получил статус наукограда,3,7.1915
город долгопрудный,город долгопрудный получил,2,6.6065
ассоциации ветеранов сво,сво,4,6.4545
фрязино,дмитрий воробьев,4,5.2503
фрязино,фрязино дмитрий воробьев,3,5.0576
саров,снежинск,6,9.0395
например,интеллект,2,9.554
например,мо,3,6.139
полномочного представителя президента,сибирском федеральном округе,2,5.1915
полномочного представителя президента,анатолия серышева,2,5.8378
полномочного представителя президента,рабочая встреча полномочного,2,7.3614
анатолия серышева,состоялась рабочая встреча,2,6.2529
анатолия серышева,новосибирске состоялась рабочая,2,6.2529
анатолия серышева,рабочая встреча полномочного,2,5.8378
анатолия серышева,валерия фалькова,2,6.2529
состоялась рабочая встреча,новосибирске состоялась рабочая,2,8.1915
сибирском федеральном округе,рабочая встреча полномочного,2,5.1915
новосибирск,зеленоград,3,5.165
тасс,николай красников,2,8.1915
новосибирскую область посетил,новосибирскую область,3,5.4545
новосибирскую область посетил,центр коллективного пользования «сибирский кольцевой источник фотонов,2,5.3841
новосибирскую область,центр коллективного пользования «сибирский кольцевой источник фотонов,2,5.2321
федерации в сибирском,представитель президента российской,2,6.1915
федерации в сибирском,президента российской федерации,2,6.1915
представитель президента российской,президента российской федерации,2,6.1915
развития туризма,туризма,7,6.9114
наукограде кольцово состоится,кольцово состоится торжественный,2,5.0215
наукограде кольцово состоится,состоится торжественный ввод,2,5.0215
наукограде кольцово состоится,эксплуатацию центра коллективного,2,5.0215
кольцово состоится торжественный,состоится торжественный ввод,2,5.0215
кольцово состоится торжественный,эксплуатацию центра коллективного,2,5.0215
состоится торжественный ввод,эксплуатацию центра коллективного,2,5.0215
серпухова,совет депутатов,2,5.5476
медиабанк подмосковья,иван петрушин,2,6.8695
модели солнечной,модели солнечной системы,4,6.7467
зеленоград,зеленограде,7,6.6769
евгений чердаков,королева,2,7.3841
новой москвы,москва,2,5.3614
bar hopping,bar,4,6.5476
bar hopping,science bar,4,6.5476
bar hopping,science bar hopping,4,6.5476
bar,science bar,4,6.5476
bar,science bar hopping,4,6.5476
science bar,science bar hopping,4,6.5476
великой,великой отечественной,9,5.3564
великой,великой отечественной войны,8,5.2739
великой,отечественной войны,8,5.2739
великой отечественной,великой отечественной войны,8,5.2739
великой отечественной,отечественной войны,8,5.2739
великой отечественной войны,отечественной войны,8,5.3614
мо,находится,8,5.9691
мо,фото,4,5.554
мо,яндекс,3,5.7764
москва,находится,6,5.554
москва,фото,3,5.139
находится,фото,5,6.4837
наукограда российской федерации,центров развития науки,3,5.4951
центров развития науки,подмосковному городу долгопрудному,2,5.2321
центров развития науки,подмосковному городу,2,5.2321
долгопрудному,подмосковному городу долгопрудному,4,5.0395
долгопрудному,долгопрудном,10,5.4354
долгопрудному,подмосковному городу,4,5.0395
долгопрудному,присвоен статус наукограда,2,7.3614
подмосковному городу долгопрудному,подмосковному городу,4,5.7175
владимир острогожский,мария овчинникова,2,5.2321
победы,игорь брынцалов,3,6.3995
игорь брынцалов,мособлдумы,4,6.689
культура автор текста,главная культура автор,4,5.7175
культура автор текста,музейно-выставочном центре,2,5.0395
культура автор текста,культура автор,3,5.3765
культура автор текста,главная культура,3,5.3765
музейно-выставочном центре,главная культура автор,2,5.0395
музейно-выставочном центре,культура автор,2,5.1135
музейно-выставочном центре,главная культура,2,5.1135
культура автор,главная культура автор,3,5.3765
культура автор,главная культура,3,5.4505
главная культура,главная культура автор,3,5.3765
главная образование автор,образование автор текста,3,6.3316
главная образование автор,главная образование,2,6.554
главная образование автор,юлия арбузова,2,5.8536
главная образование автор,образование автор,2,6.554
образование автор текста,главная образование,2,6.554
образование автор текста,юлия арбузова,2,5.8536
образование автор текста,образование автор,2,6.554
дмитрий воробьев,фрязино дмитрий воробьев,3,8.554
юлия арбузова,фрязина,2,5.491
юлия арбузова,фрязине,2,7.076
пушков,институт,2,7.6065
ниу вшэ,вшэ,5,5.7645
ниу вшэ,ниу,4,5.5096
ниу вшэ,исиэз ниу,3,5.3995
ниу вшэ,исиэз ниу вшэ,3,5.3995
ниу,вшэ,4,5.5096
ниу,исиэз ниу,3,5.4666
ниу,исиэз ниу вшэ,3,5.4666
вшэ,исиэз ниу,3,5.3995
вшэ,исиэз ниу вшэ,3,5.3995
исиэз ниу,исиэз ниу вшэ,3,5.7714
части,части города,12,6.076
части,северной части города,6,5.6065
части,северной части,10,5.813
коммунарка,внуково,2,5.6472
коммунарка,краснопахорский,2,5.6472
коммунарка,щербинка,2,5.6472
коммунарка,вороново,2,5.6472
коммунарка,бекасово,2,5.6472
коммунарка,филимонковский,2,5.6472
жк,руб,3,6.4228
северной части,части города,6,5.5455
северной части,северной части города,6,6.076
краснопахорский,внуково,2,5.7467
краснопахорский,щербинка,2,5.7467
краснопахорский,вороново,2,5.7467
краснопахорский,бекасово,2,5.7467
краснопахорский,филимонковский,2,5.7467
щербинка,внуково,2,5.7467
щербинка,вороново,2,5.7467
щербинка,бекасово,2,5.7467
щербинка,филимонковский,2,5.7467
внуково,вороново,2,5.7467
внуково,бекасово,2,5.7467
внуково,филимонковский,2,5.7467
вороново,бекасово,2,5.7467
вороново,филимонковский,2,5.7467
бекасово,филимонковский,2,5.7467
подмосковном наукограде черноголовка,подмосковном наукограде,2,8.7764
интерфаксу,сабиров,2,5.5096
шагалеев,руслан шагалеев,9,5.8171
шагалеев,источник,7,5.8468
шагалеев,руслан,9,5.75
фонда,фонд,7,5.3061
фонда,фонда «сколково»,3,5.0097
ковальчук,союза развития наукоградов,2,11.3614
получил статус наукограда,город долгопрудный получил,2,7.0215
правительства михаил мишустин,председатель правительства михаил,4,7.1915
правительства михаил мишустин,подписал председатель правительства,3,7.1915
председатель правительства михаил,подписал председатель правительства,3,7.1915
жуковского,цаги,2,10.3614
николай мулянский,жуковском,3,6.5455
николай мулянский,новости автор,2,5.7541
николай мулянский,главная новости автор,2,5.7541
николай мулянский,новости автор текста,2,5.7541
николай мулянский,главная новости,2,5.7541
жуковском,новости автор,2,5.7541
жуковском,главная новости автор,2,5.7541
жуковском,новости автор текста,2,5.7541
жуковском,главная новости,2,5.7541
города,будущего,7,5.0628
города,города будущего,7,5.3973
будущего,капустин,5,6.2404
будущего,города будущего,7,5.7872
города будущего,капустин,2,5.2529
особой экономической,особой экономической зоне,8,5.7934
новости автор,главная новости автор,3,6.1326
новости автор,новости автор текста,3,6.1326
новости автор,главная новости,3,6.1326
главная новости автор,новости автор текста,3,6.1326
главная новости автор,главная новости,3,6.1326
новости автор текста,главная новости,3,6.1326
главная благоустройство автор,благоустройство автор текста,3,7.9464
главная благоустройство автор,главная благоустройство,3,7.9464
благоустройство автор текста,главная благоустройство,3,7.9464
главная образование,образование автор,2,7.3614
горной,свияжск,2,5.2581
горной,горной стороны,7,6.203
горной стороны,свияжск,2,5.58
фонд,фонда «сколково»,2,5.7915
иц «сколково»,иц,6,5.952
иц «сколково»,недвижимости,2,5.6472
совета,фонда “сколково,3,5.537
совета,фонда “сколково”,3,5.537
фонда “сколково,фонда “сколково”,5,6.0395
луговцева,хохлов,2,6.7467
луговцева,маркин,2,5.8536
луговцева,тфк,2,5.6472
луговцева,луговцев,3,6.0515
маркин,тфк,3,6.339
маркин,луговцев,2,5.5735
тфк,луговцев,2,5.367
луговцев,хохлов,3,7.0515
иц,недвижимости,4,5.4666
проект,проекта,10,6.5285
проект,жилье,4,5.6472
недвижимости,жилье,2,5.7467
проекта,жилье,2,5.3061
геонод,разведка,7,7.554
геонод,геонод разведка,7,7.554
разведка,геонод разведка,7,7.554
руслан шагалеев,руслан,8,6.5096
руслан шагалеев,источник,4,5.9691
источник,руслан,5,6.2239
heatherwick studio for,studio for sidewalk,4,5.1915
heatherwick studio for,sidewalk labs,4,5.1915
heatherwick studio for,picture plane for,4,5.1915
heatherwick studio for,plane for heatherwick,4,5.1915
heatherwick studio for,for heatherwick studio,4,5.1915
heatherwick studio for,for sidewalk labs,4,5.1915
studio for sidewalk,sidewalk labs,4,5.1915
studio for sidewalk,picture plane for,4,5.1915
studio for sidewalk,plane for heatherwick,4,5.1915
studio for sidewalk,for heatherwick studio,4,5.1915
studio for sidewalk,for sidewalk labs,4,5.1915
sidewalk labs,picture plane for,4,5.1915
sidewalk labs,plane for heatherwick,4,5.1915
sidewalk labs,for heatherwick studio,4,5.1915
sidewalk labs,for sidewalk labs,4,5.1915
picture plane for,plane for heatherwick,4,5.1915
picture plane for,for heatherwick studio,4,5.1915
picture plane for,for sidewalk labs,4,5.1915
plane for heatherwick,for heatherwick studio,4,5.1915
plane for heatherwick,for sidewalk labs,4,5.1915
for heatherwick studio,for sidewalk labs,4,5.1915
космос,аэроклуба досааф,2,7.554
космос,досааф,2,7.554
космос,минске,3,7.9691
аэроклуба досааф,досааф,3,7.9464
аэроклуба досааф,минске,3,7.7764
досааф,минске,3,7.7764
части города,северной части города,6,6.076
житие,жития,3,5.339
житие,сергия,10,6.5566
жития,сергия,10,5.3502
жития,редакции,6,5.0395
жития,жития сергия,9,6.2321
сергия,жития сергия,9,5.7127
редакции,пространной,8,5.902
редакции,пространной редакции,8,6.1135
пространной,пространной редакции,8,6.654
